vert1_x, vert1_y, vert1_z, vert2_x, vert2_y, vert2_z, vert3_x, vert3_y, vert3_z
 778.21,  177.15,    0.00,  784.36,  110.78,    0.00,  780.67,  223.84,    0.00
 778.21,  177.15,    0.00,  780.67,  223.84,    0.00,  741.35,  225.07,    0.00
 778.21,  177.15,    0.00,  745.03,  112.01,    0.00,  784.36,  110.78,    0.00
 778.21,  177.15,    0.00,  741.35,  225.07,    0.00,  738.89,  178.37,    0.00
 778.21,  177.15,    0.00,  738.89,  178.37,    0.00,  745.03,  112.01,    0.00
 690.96,  151.34,    0.00,  738.89,  178.37,    0.00,  693.42,  198.04,    0.00
 690.96,  151.34,    0.00,  693.42,  198.04,    0.00,  654.09,  199.27,    0.00
 690.96,  151.34,    0.00,  697.11,   84.98,    0.00,  745.03,  112.01,    0.00
 690.96,  151.34,    0.00,  657.78,   86.21,    0.00,  697.11,   84.98,    0.00
 690.96,  151.34,    0.00,  745.03,  112.01,    0.00,  738.89,  178.37,    0.00
 690.96,  151.34,    0.00,  654.09,  199.27,    0.00,  651.64,  152.57,    0.00
 690.96,  151.34,    0.00,  651.64,  152.57,    0.00,  657.78,   86.21,    0.00
 624.60,  179.60,    0.00,  654.09,  199.27,    0.00,  627.06,  226.30,    0.00
 624.60,  179.60,    0.00,  627.06,  226.30,    0.00,  587.73,  227.53,    0.00
 624.60,  179.60,    0.00,  630.74,  113.24,    0.00,  651.64,  152.57,    0.00
 624.60,  179.60,    0.00,  591.42,  114.47,    0.00,  630.74,  113.24,    0.00
 624.60,  179.60,    0.00,  651.64,  152.57,    0.00,  654.09,  199.27,    0.00
 624.60,  179.60,    0.00,  587.73,  227.53,    0.00,  585.27,  180.83,    0.00
 624.60,  179.60,    0.00,  585.27,  180.83,    0.00,  591.42,  114.47,    0.00
 548.41,  137.82,    0.00,  585.27,  180.83,    0.00,  550.87,  184.52,    0.00
 548.41,  137.82,    0.00,  550.87,  184.52,    0.00,  511.54,  185.75,    0.00
 548.41,  137.82,    0.00,  554.55,   71.46,    0.00,  591.42,  114.47,    0.00
 548.41,  137.82,    0.00,  515.23,   72.69,    0.00,  554.55,   71.46,    0.00
 548.41,  137.82,    0.00,  591.42,  114.47,    0.00,  585.27,  180.83,    0.00
 548.41,  137.82,    0.00,  511.54,  185.75,    0.00,  509.08,  139.05,    0.00
 548.41,  137.82,    0.00,  509.08,  139.05,    0.00,  515.23,   72.69,    0.00
 479.59,  167.31,    0.00,  511.54,  185.75,    0.00,  482.05,  214.01,    0.00
 479.59,  167.31,    0.00,  482.05,  214.01,    0.00,  442.72,  215.24,    0.00
 479.59,  167.31,    0.00,  485.73,  100.95,    0.00,  509.08,  139.05,    0.00
 479.59,  167.31,    0.00,  446.41,  102.18,    0.00,  485.73,  100.95,    0.00
 479.59,  167.31,    0.00,  509.08,  139.05,    0.00,  511.54,  185.75,    0.00
 479.59,  167.31,    0.00,  442.72,  215.24,    0.00,  440.26,  168.54,    0.00
 479.59,  167.31,    0.00,  440.26,  168.54,    0.00,  446.41,  102.18,    0.00
 400.94,  146.42,    0.00,  440.26,  168.54,    0.00,  403.40,  193.12,    0.00
 400.94,  146.42,    0.00,  403.40,  193.12,    0.00,  364.07,  194.35,    0.00
 400.94,  146.42,    0.00,  407.08,   80.06,    0.00,  446.41,  102.18,    0.00
 400.94,  146.42,    0.00,  367.76,   81.29,    0.00,  407.08,   80.06,    0.00
 400.94,  146.42,    0.00,  446.41,  102.18,    0.00,  440.26,  168.54,    0.00
 400.94,  146.42,    0.00,  364.07,  194.35,    0.00,  361.61,  147.65,    0.00
 400.94,  146.42,    0.00,  361.61,  147.65,    0.00,  367.76,   81.29,    0.00
 337.03,  175.92,    0.00,  364.07,  194.35,    0.00,  339.49,  222.62,    0.00
 337.03,  175.92,    0.00,  339.49,  222.62,    0.00,  300.17,  223.84,    0.00
 337.03,  175.92,    0.00,  343.18,  109.55,    0.00,  361.61,  147.65,    0.00
 337.03,  175.92,    0.00,  303.85,  110.78,    0.00,  343.18,  109.55,    0.00
 337.03,  175.92,    0.00,  361.61,  147.65,    0.00,  364.07,  194.35,    0.00
 337.03,  175.92,    0.00,  300.17,  223.84,    0.00,  297.71,  177.15,    0.00
 337.03,  175.92,    0.00,  297.71,  177.15,    0.00,  303.85,  110.78,    0.00
 243.64,  156.25,    0.00,  297.71,  177.15,    0.00,  246.09,  202.95,    0.00
 243.64,  156.25,    0.00,  246.09,  202.95,    0.00,  206.77,  204.18,    0.00
 243.64,  156.25,    0.00,  249.78,   89.89,    0.00,  303.85,  110.78,    0.00
 243.64,  156.25,    0.00,  210.46,   91.12,    0.00,  249.78,   89.89,    0.00
 243.64,  156.25,    0.00,  303.85,  110.78,    0.00,  297.71,  177.15,    0.00
 243.64,  156.25,    0.00,  206.77,  204.18,    0.00,  204.31,  157.48,    0.00
 243.64,  156.25,    0.00,  204.31,  157.48,    0.00,  210.46,   91.12,    0.00
 155.15,  174.69,    0.00,  206.77,  204.18,    0.00,  157.61,  221.39,    0.00
 155.15,  174.69,    0.00,  157.61,  221.39,    0.00,  118.29,  222.62,    0.00
 155.15,  174.69,    0.00,  161.30,  108.33,    0.00,  204.31,  157.48,    0.00
 155.15,  174.69,    0.00,  121.97,  109.55,    0.00,  161.30,  108.33,    0.00
 155.15,  174.69,    0.00,  204.31,  157.48,    0.00,  206.77,  204.18,    0.00
 155.15,  174.69,    0.00,  118.29,  222.62,    0.00,  115.83,  175.92,    0.00
 155.15,  174.69,    0.00,  115.83,  175.92,    0.00,  121.97,  109.55,    0.00
  76.50,  175.92,    0.00,  115.83,  175.92,    0.00,   78.96,  222.62,    0.00
  76.50,  175.92,    0.00,   78.96,  222.62,    0.00,   39.64,  223.84,    0.00
  76.50,  175.92,    0.00,   82.65,  109.55,    0.00,  115.83,  175.92,    0.00
  76.50,  175.92,    0.00,   43.32,  110.78,    0.00,   82.65,  109.55,    0.00
  76.50,  175.92,    0.00,   39.64,  223.84,    0.00,   37.18,  177.15,    0.00
  76.50,  175.92,    0.00,   37.18,  177.15,    0.00,   43.32,  110.78,    0.00
 786.82,  290.21,    0.00,  780.67,  223.84,    0.00,  784.36,  110.78,    0.00
 786.82,  290.21,    0.00,  747.49,  291.43,    0.00,  780.67,  223.84,    0.00
 786.82,  290.21,    0.00,  779.44,  518.78,    0.00,  778.21,  400.81,    0.00
 786.82,  290.21,    0.00,  778.21,  400.81,    0.00,  780.67,  349.19,    0.00
 786.82,  290.21,    0.00,  780.67,  349.19,    0.00,  747.49,  291.43,    0.00
 786.82,  290.21,    0.00,  784.36,  110.78,    0.00,  790.50,   54.25,    0.00
 699.56,  264.40,    0.00,  660.24,  265.63,    0.00,  693.42,  198.04,    0.00
 699.56,  264.40,    0.00,  693.42,  198.04,    0.00,  741.35,  225.07,    0.00
 699.56,  264.40,    0.00,  747.49,  291.43,    0.00,  693.42,  323.39,    0.00
 699.56,  264.40,    0.00,  693.42,  323.39,    0.00,  660.24,  265.63,    0.00
 699.56,  264.40,    0.00,  741.35,  225.07,    0.00,  747.49,  291.43,    0.00
 633.20,  292.66,    0.00,  627.06,  226.30,    0.00,  660.24,  265.63,    0.00
 633.20,  292.66,    0.00,  593.88,  293.89,    0.00,  627.06,  226.30,    0.00
 633.20,  292.66,    0.00,  627.06,  351.65,    0.00,  593.88,  293.89,    0.00
 633.20,  292.66,    0.00,  654.09,  324.62,    0.00,  627.06,  351.65,    0.00
 633.20,  292.66,    0.00,  660.24,  265.63,    0.00,  654.09,  324.62,    0.00
 557.01,  250.88,    0.00,  517.68,  252.11,    0.00,  550.87,  184.52,    0.00
 557.01,  250.88,    0.00,  550.87,  184.52,    0.00,  587.73,  227.53,    0.00
 557.01,  250.88,    0.00,  593.88,  293.89,    0.00,  550.87,  309.87,    0.00
 557.01,  250.88,    0.00,  550.87,  309.87,    0.00,  517.68,  252.11,    0.00
 557.01,  250.88,    0.00,  587.73,  227.53,    0.00,  593.88,  293.89,    0.00
 488.19,  280.37,    0.00,  482.05,  214.01,    0.00,  517.68,  252.11,    0.00
 488.19,  280.37,    0.00,  448.87,  281.60,    0.00,  482.05,  214.01,    0.00
 488.19,  280.37,    0.00,  482.05,  339.36,    0.00,  448.87,  281.60,    0.00
 488.19,  280.37,    0.00,  511.54,  311.10,    0.00,  482.05,  339.36,    0.00
 488.19,  280.37,    0.00,  517.68,  252.11,    0.00,  511.54,  311.10,    0.00
 409.54,  259.48,    0.00,  370.21,  260.71,    0.00,  403.40,  193.12,    0.00
 409.54,  259.48,    0.00,  403.40,  193.12,    0.00,  442.72,  215.24,    0.00
 409.54,  259.48,    0.00,  448.87,  281.60,    0.00,  403.40,  318.47,    0.00
 409.54,  259.48,    0.00,  403.40,  318.47,    0.00,  370.21,  260.71,    0.00
 409.54,  259.48,    0.00,  442.72,  215.24,    0.00,  448.87,  281.60,    0.00
 345.64,  288.98,    0.00,  339.49,  222.62,    0.00,  370.21,  260.71,    0.00
 345.64,  288.98,    0.00,  306.31,  290.21,    0.00,  339.49,  222.62,    0.00
 345.64,  288.98,    0.00,  339.49,  347.96,    0.00,  306.31,  290.21,    0.00
 345.64,  288.98,    0.00,  364.07,  319.70,    0.00,  339.49,  347.96,    0.00
 345.64,  288.98,    0.00,  370.21,  260.71,    0.00,  364.07,  319.70,    0.00
 252.24,  269.31,    0.00,  212.91,  270.54,    0.00,  246.09,  202.95,    0.00
 252.24,  269.31,    0.00,  246.09,  202.95,    0.00,  300.17,  223.84,    0.00
 252.24,  269.31,    0.00,  306.31,  290.21,    0.00,  246.09,  328.30,    0.00
 252.24,  269.31,    0.00,  246.09,  328.30,    0.00,  212.91,  270.54,    0.00
 252.24,  269.31,    0.00,  300.17,  223.84,    0.00,  306.31,  290.21,    0.00
 163.76,  287.75,    0.00,  157.61,  221.39,    0.00,  212.91,  270.54,    0.00
 163.76,  287.75,    0.00,  124.43,  288.98,    0.00,  157.61,  221.39,    0.00
 163.76,  287.75,    0.00,  157.61,  346.74,    0.00,  124.43,  288.98,    0.00
 163.76,  287.75,    0.00,  206.77,  329.53,    0.00,  157.61,  346.74,    0.00
 163.76,  287.75,    0.00,  212.91,  270.54,    0.00,  206.77,  329.53,    0.00
  85.11,  288.98,    0.00,   45.78,  290.21,    0.00,   78.96,  222.62,    0.00
  85.11,  288.98,    0.00,   78.96,  222.62,    0.00,  118.29,  222.62,    0.00
  85.11,  288.98,    0.00,   78.96,  347.96,    0.00,   45.78,  290.21,    0.00
  85.11,  288.98,    0.00,  118.29,  347.96,    0.00,   78.96,  347.96,    0.00
  85.11,  288.98,    0.00,  118.29,  222.62,    0.00,  124.43,  288.98,    0.00
  85.11,  288.98,    0.00,  124.43,  288.98,    0.00,  118.29,  347.96,    0.00
 780.67,  223.84,    0.00,  747.49,  291.43,    0.00,  741.35,  225.07,    0.00
 693.42,  198.04,    0.00,  738.89,  178.37,    0.00,  741.35,  225.07,    0.00
 693.42,  198.04,    0.00,  660.24,  265.63,    0.00,  654.09,  199.27,    0.00
 627.06,  226.30,    0.00,  654.09,  199.27,    0.00,  660.24,  265.63,    0.00
 627.06,  226.30,    0.00,  593.88,  293.89,    0.00,  587.73,  227.53,    0.00
 550.87,  184.52,    0.00,  585.27,  180.83,    0.00,  587.73,  227.53,    0.00
 550.87,  184.52,    0.00,  517.68,  252.11,    0.00,  511.54,  185.75,    0.00
 482.05,  214.01,    0.00,  511.54,  185.75,    0.00,  517.68,  252.11,    0.00
 482.05,  214.01,    0.00,  448.87,  281.60,    0.00,  442.72,  215.24,    0.00
 403.40,  193.12,    0.00,  440.26,  168.54,    0.00,  442.72,  215.24,    0.00
 403.40,  193.12,    0.00,  370.21,  260.71,    0.00,  364.07,  194.35,    0.00
 339.49,  222.62,    0.00,  364.07,  194.35,    0.00,  370.21,  260.71,    0.00
 339.49,  222.62,    0.00,  306.31,  290.21,    0.00,  300.17,  223.84,    0.00
 246.09,  202.95,    0.00,  297.71,  177.15,    0.00,  300.17,  223.84,    0.00
 246.09,  202.95,    0.00,  212.91,  270.54,    0.00,  206.77,  204.18,    0.00
 157.61,  221.39,    0.00,  206.77,  204.18,    0.00,  212.91,  270.54,    0.00
 157.61,  221.39,    0.00,  124.43,  288.98,    0.00,  118.29,  222.62,    0.00
  78.96,  222.62,    0.00,  115.83,  175.92,    0.00,  118.29,  222.62,    0.00
  78.96,  222.62,    0.00,   45.78,  290.21,    0.00,   39.64,  223.84,    0.00
 778.21,  400.81,    0.00,  779.44,  518.78,    0.00,  774.53,  456.11,    0.00
 778.21,  400.81,    0.00,  774.53,  456.11,    0.00,  738.89,  402.04,    0.00
 778.21,  400.81,    0.00,  741.35,  350.42,    0.00,  780.67,  349.19,    0.00
 778.21,  400.81,    0.00,  738.89,  402.04,    0.00,  741.35,  350.42,    0.00
 690.96,  375.00,    0.00,  738.89,  402.04,    0.00,  687.27,  430.30,    0.00
 690.96,  375.00,    0.00,  687.27,  430.30,    0.00,  651.64,  376.23,    0.00
 690.96,  375.00,    0.00,  693.42,  323.39,    0.00,  741.35,  350.42,    0.00
 690.96,  375.00,    0.00,  654.09,  324.62,    0.00,  693.42,  323.39,    0.00
 690.96,  375.00,    0.00,  741.35,  350.42,    0.00,  738.89,  402.04,    0.00
 690.96,  375.00,    0.00,  651.64,  376.23,    0.00,  654.09,  324.62,    0.00
 624.60,  403.27,    0.00,  620.91,  458.57,    0.00,  585.27,  404.49,    0.00
 624.60,  403.27,    0.00,  647.95,  431.53,    0.00,  620.91,  458.57,    0.00
 624.60,  403.27,    0.00,  627.06,  351.65,    0.00,  651.64,  376.23,    0.00
 624.60,  403.27,    0.00,  587.73,  352.88,    0.00,  627.06,  351.65,    0.00
 624.60,  403.27,    0.00,  651.64,  376.23,    0.00,  647.95,  431.53,    0.00
 624.60,  403.27,    0.00,  585.27,  404.49,    0.00,  587.73,  352.88,    0.00
 548.41,  361.48,    0.00,  585.27,  404.49,    0.00,  544.72,  416.78,    0.00
 548.41,  361.48,    0.00,  544.72,  416.78,    0.00,  509.08,  362.71,    0.00
 548.41,  361.48,    0.00,  550.87,  309.87,    0.00,  587.73,  352.88,    0.00
 548.41,  361.48,    0.00,  511.54,  311.10,    0.00,  550.87,  309.87,    0.00
 548.41,  361.48,    0.00,  587.73,  352.88,    0.00,  585.27,  404.49,    0.00
 548.41,  361.48,    0.00,  509.08,  362.71,    0.00,  511.54,  311.10,    0.00
 479.59,  390.98,    0.00,  475.90,  446.28,    0.00,  440.26,  392.21,    0.00
 479.59,  390.98,    0.00,  505.40,  418.01,    0.00,  475.90,  446.28,    0.00
 479.59,  390.98,    0.00,  482.05,  339.36,    0.00,  509.08,  362.71,    0.00
 479.59,  390.98,    0.00,  442.72,  340.59,    0.00,  482.05,  339.36,    0.00
 479.59,  390.98,    0.00,  509.08,  362.71,    0.00,  505.40,  418.01,    0.00
 479.59,  390.98,    0.00,  440.26,  392.21,    0.00,  442.72,  340.59,    0.00
 400.94,  370.09,    0.00,  440.26,  392.21,    0.00,  397.25,  425.39,    0.00
 400.94,  370.09,    0.00,  397.25,  425.39,    0.00,  361.61,  371.31,    0.00
 400.94,  370.09,    0.00,  403.40,  318.47,    0.00,  442.72,  340.59,    0.00
 400.94,  370.09,    0.00,  364.07,  319.70,    0.00,  403.40,  318.47,    0.00
 400.94,  370.09,    0.00,  442.72,  340.59,    0.00,  440.26,  392.21,    0.00
 400.94,  370.09,    0.00,  361.61,  371.31,    0.00,  364.07,  319.70,    0.00
 337.03,  399.58,    0.00,  333.35,  454.88,    0.00,  297.71,  400.81,    0.00
 337.03,  399.58,    0.00,  357.93,  426.62,    0.00,  333.35,  454.88,    0.00
 337.03,  399.58,    0.00,  339.49,  347.96,    0.00,  361.61,  371.31,    0.00
 337.03,  399.58,    0.00,  300.17,  349.19,    0.00,  339.49,  347.96,    0.00
 337.03,  399.58,    0.00,  361.61,  371.31,    0.00,  357.93,  426.62,    0.00
 337.03,  399.58,    0.00,  297.71,  400.81,    0.00,  300.17,  349.19,    0.00
 243.64,  379.92,    0.00,  297.71,  400.81,    0.00,  239.95,  435.22,    0.00
 243.64,  379.92,    0.00,  239.95,  435.22,    0.00,  204.31,  381.15,    0.00
 243.64,  379.92,    0.00,  246.09,  328.30,    0.00,  300.17,  349.19,    0.00
 243.64,  379.92,    0.00,  206.77,  329.53,    0.00,  246.09,  328.30,    0.00
 243.64,  379.92,    0.00,  300.17,  349.19,    0.00,  297.71,  400.81,    0.00
 243.64,  379.92,    0.00,  204.31,  381.15,    0.00,  206.77,  329.53,    0.00
 155.15,  398.35,    0.00,  151.47,  453.65,    0.00,  115.83,  399.58,    0.00
 155.15,  398.35,    0.00,  200.62,  436.45,    0.00,  151.47,  453.65,    0.00
 155.15,  398.35,    0.00,  157.61,  346.74,    0.00,  204.31,  381.15,    0.00
 155.15,  398.35,    0.00,  118.29,  347.96,    0.00,  157.61,  346.74,    0.00
 155.15,  398.35,    0.00,  204.31,  381.15,    0.00,  200.62,  436.45,    0.00
 155.15,  398.35,    0.00,  115.83,  399.58,    0.00,  118.29,  347.96,    0.00
  76.50,  399.58,    0.00,   72.82,  454.88,    0.00,   37.18,  400.81,    0.00
